puncher 30 [ 23.62990396  34.11645446] 3.82135076282 12.3770869506
calculator 40 [ 26.67325102  38.4105654 ] 17.2281121377 12.6783270232
cd 45 [ 13.04198372  19.21510601] 2197.42200179 45.3446988153
nail 35 [ 30.47521266  40.15599257] 2.79209874823 10.3549959862
scissors 20 [ 26.65692056  36.13667622] 2.7617839646 9.59090951059
hammer 140 [ 25.11646831  35.07165099] 4.47597992845 12.4055618582
flashlight 65 [ 34.53025662  47.47182208] 1.84078291747 9.16476706965
rubber 15 [ 32.45558582  45.6865515 ] 1.19094067019 8.26985546324
hand_blower 20 [ 19.02093824  27.65906465] 4.70412131746 11.4324368839
mallet 25 [ 31.24273533  43.61256772] 1.88390674925 9.36219447868
hand_glass 20 [ 22.21015581  30.04664195] 36.0849943355 15.5599569624
mug 210 [ 18.14881434  28.67595286] 4.25827966074 12.9757736505
tape 15 [ 33.845643    48.02327878] 1.84460964397 10.0143637425
nut 20 [ 18.88065678  30.13492436] 3.38960188504 11.7908416384
knife 370 [ 29.89172594  39.46803375] 303.504910147 14.7484656789
pencil 495 [ 33.76078778  43.89112289] 166.539912876 12.0457548628
gear 30 [ 20.53343625  31.77644113] 3.22245635994 11.4975733197
ruler 60 [ 29.29322531  38.49422212] 2978.00952261 51.6666748419
screwdriver 30 [ 43.30142814  55.82603759] 1.3039648286 7.77648890935
spoon 35 [ 20.38996299  28.26224909] 5.01596067523 12.7843085901
bolt 115 [ 24.13443803  34.92312103] 1049.05389835 34.1938955022
key 40 [ 37.77366547  49.74791042] 1.67409513409 8.26417733558
bulb 45 [ 23.68604246  34.77934885] 2.44556589567 10.4489325742
plunger 95 [ 25.8901737   36.88769034] 2.76313398899 11.0118832964
bevel 30 [ 26.43795084  35.68158258] 3.63184910069 11.8582364462
chisel 20 [ 32.81427364  42.50749551] 3.92893361808 11.8748000581
cutlery 15 [ 22.86865813  32.37725777] 3.25534604855 11.1619561693
tongs 25 [ 16.59042573  23.81068362] 2388.35192486 45.806676886
wrench 65 [ 29.82339125  39.42001562] 1784.81459046 36.5120611727
drill 20 [ 25.18095537  35.13338103] 3.75254750064 13.8146029289
corkscrew 15 [ 39.89150951  51.37830807] 1.54030707484 8.14404662543
bottle 635 [ 29.52050494  41.9549447 ] 947.98896549 19.3482106037
remote_control 145 [ 30.67579746  41.06357657] 3651.9576614 116.616963432
