puncher 90 [ 23.71819586  34.37424369] 5.41542219067 12.3502807603
calculator 111 [ 39.25852155  53.55351223] 2.34886458993 9.47797687892
cd 123 [ 59.16774498  72.72372688] 1.01925193573 5.85008686669
nail 102 [ 50.15446559  60.10588781] 3.26868111969 10.5479925257
scissors 57 [ 26.13052907  35.60621776] 4.75574103907 12.2961241048
hammer 432 [ 37.52332333  49.55833354] 3.11485205685 11.2604643226
flashlight 195 [ 55.4292686  70.0604068] 0.906913181555 7.44530405016
rubber 42 [ 42.56160716  59.21801698] 1.06546902689 7.16053932383
hand_blower 60 [ 24.92578721  35.64923706] 4.11368768574 10.3861423602
mallet 75 [ 45.00266607  58.91171106] 1.35095360768 9.36649764686
hand_glass 60 [ 33.25838694  44.93917958] 2.35520748596 10.2014923893
mug 627 [ 29.24682786  45.11711041] 2.12970986732 9.96096458748
tape 36 [ 46.05979515  63.23480304] 0.82547559312 7.4040997633
nut 51 [ 25.15297829  40.31395096] 1.82111391319 9.4314553276
knife 1104 [ 53.0004728  63.1887582] 1.55976303908 7.6959541233
pencil 1473 [ 62.1921449   70.46938431] 1.79466218514 7.93931428281
gear 90 [ 33.23366685  49.62320844] 1.49088846923 7.20404233725
ruler 171 [ 52.3697033   63.30052216] 1.25405011379 8.21019416806
screwdriver 87 [ 56.82147642  70.00482415] 1.04942429202 7.4536335132
spoon 105 [ 41.70774034  53.41409526] 2.20148437746 10.3749115387
bolt 336 [ 52.78449418  66.99519353] 0.940115412108 7.80279304754
key 120 [ 47.78749151  59.34940177] 1.61599979715 9.20504422175
bulb 135 [ 31.28494875  45.61945915] 2.07298064882 9.8198409733
plunger 282 [ 36.80344809  50.02479946] 2.57282721947 9.88399233195
bevel 90 [ 28.2032916   37.21163604] 5.61839354537 13.2910323166
chisel 60 [ 57.24984208  69.87518813] 0.687676416911 7.10905541874
cutlery 36 [ 31.59029263  41.27806977] 2.44999464275 10.8499760407
tongs 75 [ 26.58074582  36.78650244] 3.25711063726 10.8236232896
wrench 189 [ 44.20368591  56.38665505] 2.58394541821 10.498232452
drill 51 [ 39.47016844  49.31320363] 3.54675295305 11.5603238192
corkscrew 45 [ 22.25982135  31.49061759] 5.54165732148 14.0928635087
bottle 1896 [ 54.37843223  67.77521636] 1.10254819239 6.43908086628
remote_control 426 [ 44.74062448  57.41850996] 5700.40088548 47.4169963023
