puncher 90 [ 24.22203624  36.07066596] 3.97473811095 12.1010473891
calculator 111 [ 36.70406866  52.77084455] 1.80170454146 10.1452402302
cd 123 [ 51.66712412  67.76457526] 1.02077001814 6.87755987344
nail 102 [ 48.40424592  59.4791241 ] 1.94844686166 11.4565937225
scissors 57 [ 25.78163093  35.99887124] 3.07096396121 12.6688009782
hammer 432 [ 35.49985282  49.0028837 ] 2.2106405279 11.9142453692
flashlight 195 [ 53.54083504  70.59769284] 0.685496223631 8.37305979368
rubber 42 [ 41.7979372   61.47794155] 0.834538293471 7.94184268581
hand_blower 60 [ 24.86213964  36.29713015] 3.16995745181 10.5252278171
mallet 75 [ 43.92494951  59.778185  ] 1.10128588261 10.2676801663
hand_glass 60 [ 34.47736437  46.80055401] 2.01627980486 10.7179025759
mug 627 [ 26.68414238  42.79883938] 1.86502347658 11.0523952248
tape 36 [ 42.78197019  61.34588308] 0.901315432962 8.36440927061
nut 51 [ 21.95941534  37.36001733] 1.43064936257 10.0531907485
knife 1104 [ 49.7304614   60.96151876] 1.24980912925 8.86275306555
pencil 1473 [ 56.06902649  66.72838161] 1.37546481082 9.45070481511
gear 90 [ 29.77478249  46.44451918] 1.38862208115 8.41443203303
ruler 171 [ 49.43931544  61.88673294] 0.879471103379 9.37728570894
screwdriver 87 [ 52.83690281  68.52117493] 0.858679820983 8.51256516282
spoon 105 [ 37.57063252  50.75929736] 1.69934494421 11.3562907065
bolt 336 [ 50.94602865  66.97714937] 0.771670748581 9.07257756706
key 120 [ 48.86761557  61.92784728] 1.24572664647 10.1332886344
bulb 135 [ 27.44042151  41.31861496] 1.81165582366 10.7345272751
plunger 282 [ 34.6232653   49.29702509] 1.95681645981 10.4696678905
bevel 90 [ 30.29704737  41.56536724] 3.82157052799 13.0997089015
chisel 60 [ 51.99583257  66.99335016] 0.777384192398 8.49015726584
cutlery 36 [ 32.03134523  42.76313918] 1.73007641845 11.4713423125
tongs 75 [ 26.27310164  37.06698574] 2.44571107446 11.6554305649
wrench 189 [ 41.31109869  54.95034262] 1.65220510952 11.5685068566
drill 51 [ 36.69747719  48.11716123] 2.667976806 12.4097697634
corkscrew 45 [ 21.51854429  32.33818738] 3.61116590002 14.1943507455
bottle 1896 [ 51.41387728  67.39653565] 0.878314940978 7.47441596977
remote_control 426 [ 42.91112123  57.82022503] 5696.23693416 48.3516675259
