puncher 30 [ 19.29025632  27.95740285] 5.7001971058 14.4314429273
calculator 40 [ 18.56689743  27.28897812] 4.80869496412 15.6210014915
cd 45 [ 13.72949262  20.15346466] 1501.65285217 35.3323586754
nail 35 [ 16.3499897   23.01159989] 6.29993278486 15.3469843881
scissors 20 [ 14.64817247  21.69539915] 4.85617218995 12.956262048
hammer 140 [ 16.3892318   23.49180835] 6.4985706724 15.6941554205
flashlight 65 [ 21.17411991  30.51040969] 4.63544085837 14.5652030101
rubber 15 [ 15.118355   22.8940563] 5.80005986074 14.8402267967
hand_blower 20 [ 14.71165702  21.49646864] 7.21307472198 14.9516209489
mallet 25 [ 18.70092974  27.04325975] 3.94882988492 14.1736001164
hand_glass 20 [ 17.13671979  23.26850269] 6346.3038939 35.0533413216
mug 210 [ 10.24921146  16.40345114] 17.6782716844 20.3118137662
tape 15 [ 20.69546581  29.90653699] 4.49071391186 13.374565787
nut 20 [ 12.71710897  19.9562201 ] 5.10705586966 17.0616263342
knife 370 [ 17.19948169  23.71663904] 6.15589953061 13.8914182356
pencil 495 [ 16.935299    23.87295629] 5.37905926239 13.7921814603
gear 30 [ 14.61399782  22.42716559] 6.10136231204 15.7827660063
ruler 60 [ 12.97672551  18.87074235] 574.443147051 21.3399977687
screwdriver 30 [ 22.9781561   31.33300332] 3.35725991254 11.4852751427
spoon 35 [ 12.40341997  18.88482098] 5.47202757536 14.1401123181
bolt 115 [ 15.49231655  22.65572838] 152.408963247 28.2575886312
key 40 [ 18.61750932  26.23205247] 4.94666827311 14.3797549403
bulb 45 [ 12.61405074  19.45677922] 6.63406256853 16.3762574562
plunger 95 [ 16.98532924  24.42840693] 5.22375494113 15.0827395196
bevel 30 [ 21.933962    30.06431417] 4.82177463743 14.1897280633
chisel 20 [ 18.04674454  25.74061616] 4.72370428379 13.4930325555
cutlery 15 [ 12.19508749  17.98548521] 8.52948028491 15.1458768616
tongs 25 [ 11.58254999  16.82812216] 9.82995267099 16.2866147396
wrench 65 [ 15.55797865  22.04568252] 1745.09317481 32.7454686182
drill 20 [ 21.52314245  30.00482017] 4.75808380923 14.1294816824
corkscrew 15 [ 17.49638444  24.91649461] 4.3025477683 12.9017686275
bottle 635 [ 16.18719408  24.21919324] 563.554005869 20.2583503982
remote_control 145 [ 20.70402709  29.28996966] 6460.18553939 139.587806818
